Title,Url,Price_old,Price_new
"PRX Powermatic 80 Automatic Blue Dial Men's Watch T137.407.11.041.00","https://www.jomashop.com/tissot-t-classic-automatic-blue-dial-mens-watch-t137-407-11-041-00.html","$725.00","$559.99"
"Speedmaster Racing Automatic Chronograph Men's Watch 326.30.40.50.01.001","https://www.jomashop.com/omega-watch-32630405001001.html","$4,800.00","$3,550.00"
"Highlife Automatic Men's Watch FC-303BL4NH6B","https://www.jomashop.com/frederique-constant-highlife-automatic-mens-watch-fc-303bl4nh6b.html","$2,195.00","$1,020.00"
